name,value_0_100,source_notes
Conor McGregor,99,Maior trash-talker e draw de PPV da historia do esporte
Chael Sonnen,96,"O ""Bad Guy"", pioneiro do mic work moderno no MMA"
Nate Diaz,92,Carisma de Stockton, cult following enorme
Israel Adesanya,90,Entradas teatrais, personalidade e mic skills fortes
Sean O'Malley,88,Estrela de midia social da nova geracao
Colby Covington,87,Heel persona deliberada, gera reacao do publico
Khabib Nurmagomedov,86,Carisma quieto mas magnetico, base de fas global
Paddy Pimblett,85,Carisma britanico, crescimento rapido de fanbase
Michael Chandler,84,Energia e promos intensas
Dustin Poirier,82,Querido pelos fas, autenticidade
Jon Jones,80,Maior de todos os tempos, presenca midiatica
Max Holloway,80,"""Blessed"", carismatico e querido"
Charles Oliveira,79,Heroi brasileiro, humildade que conquista o publico
Tony Ferguson,79,Excentrico, ""El Cucuy"", personalidade unica
Anderson Silva,85,Icone brasileiro, showman dentro do octogono
Georges St-Pierre,78,Embaixador do esporte, respeitado mundialmente
Daniel Cormier,83,Carisma natural, hoje comentarista querido
Brock Lesnar,88,Crossover WWE, draw monstruoso de PPV
